U_1,I_1,U_2,I_2,U_3,I_3,U_4,I_4
-1.9,-0.85,-2.25,-0.5,-2.5,-0.2,-2.7,-0.05
-1.85,-0.85,-2.25,-0.45,-2.5,-0.2,-2.65,-0.05
-1.85,-0.85,-2.25,-0.45,-2.5,-0.2,-2.65,-0.05
-1.85,-0.8,-2.2,-0.45,-2.45,-0.2,-2.6,-0.05
-1.85,-0.8,-2.2,-0.45,-2.45,-0.2,-2.6,-0.05
-1.85,-0.8,-2.2,-0.45,-2.45,-0.2,-2.6,-0.05
-1.85,-0.75,-2.2,-0.4,-2.45,-0.15,-2.55,-0.05
-1.85,-0.75,-2.2,-0.4,-2.45,-0.15,-2.55,-0.05
-1.85,-0.7,-2.2,-0.35,-2.4,-0.15,-2.5,-0.05
-1.85,-0.7,-2.2,-0.35,-2.4,-0.15,-2.5,-0.05
-1.8,-0.7,-2.15,-0.35,-2.35,-0.15,-2.45,0
-1.8,-0.7,-2.15,-0.35,-2.35,-0.15,-2.45,0
-1.8,-0.7,-2.15,-0.35,-2.35,-0.15,-2.45,0
-1.8,-0.65,-2.15,-0.3,-2.35,-0.1,-2.45,0
-1.8,-0.65,-2.15,-0.3,-2.35,-0.1,-2.45,0
-1.8,-0.6,-2.1,-0.3,-2.3,-0.1,-2.4,0
-1.8,-0.6,-2.1,-0.3,-2.3,-0.1,-2.4,0
-1.75,-0.6,-2.1,-0.25,-2.25,-0.1,-2.35,0
-1.75,-0.55,-2.1,-0.25,-2.25,-0.1,-2.35,0
-1.75,-0.6,-2.1,-0.25,-2.25,-0.1,-2.35,0
-1.75,-0.55,-2.05,-0.25,-2.2,-0.1,-2.3,0
-1.75,-0.55,-2.05,-0.25,-2.2,-0.05,-2.3,0
-1.75,-0.5,-2.05,-0.2,-2.2,-0.05,-2.25,0
-1.75,-0.5,-2.05,-0.2,-2.2,-0.05,-2.25,0
-1.7,-0.45,-2,-0.2,-2.15,-0.05,-2.2,0
-1.7,-0.45,-2,-0.2,-2.15,-0.05,-2.2,0
-1.7,-0.45,-2,-0.15,-2.1,-0.05,-2.15,0
-1.7,-0.45,-2,-0.15,-2.1,-0.05,-2.15,0
-1.7,-0.45,-2,-0.15,-2.1,-0.05,-2.15,0
-1.7,-0.4,-1.95,-0.15,-2.05,-0.05,-2.1,0
-1.7,-0.4,-1.95,-0.15,-2.05,-0.05,-2.1,0
-1.65,-0.4,-1.9,-0.15,-2,-0.05,-2.05,0
-1.65,-0.4,-1.9,-0.15,-2,-0.05,-2.05,0
-1.65,-0.35,-1.9,-0.1,-1.95,0,-2,0
-1.65,-0.35,-1.9,-0.1,-1.95,-0.05,-2,0
-1.65,-0.35,-1.9,-0.1,-1.95,0,-2,0
-1.65,-0.3,-1.85,-0.1,-1.95,0,-1.95,0
-1.65,-0.3,-1.85,-0.1,-1.95,0,-1.95,0
-1.6,-0.3,-1.8,-0.1,-1.9,0,-1.9,0
-1.6,-0.3,-1.8,-0.1,-1.9,0,-1.9,0
-1.6,-0.25,-1.8,-0.05,-1.85,0,-1.85,0
-1.6,-0.25,-1.8,-0.05,-1.85,0,-1.85,0
-1.6,-0.25,-1.8,-0.05,-1.85,0,-1.85,0
-1.55,-0.25,-1.75,-0.05,-1.8,0,-1.8,0
-1.55,-0.25,-1.75,-0.05,-1.8,0,-1.8,0
-1.55,-0.2,-1.7,-0.05,-1.75,0,-1.75,0
-1.55,-0.2,-1.7,-0.05,-1.75,0,-1.75,0
-1.5,-0.2,-1.65,-0.05,-1.7,0,-1.7,0
-1.5,-0.2,-1.65,-0.05,-1.7,0,-1.7,0
-1.5,-0.15,-1.6,-0.05,-1.65,0,-1.65,0
-1.5,-0.15,-1.6,-0.05,-1.65,0,-1.65,0
-1.5,-0.15,-1.6,-0.05,-1.65,0,-1.65,0
-1.45,-0.15,-1.55,-0.05,-1.6,0,-1.6,0
-1.45,-0.15,-1.55,0,-1.6,0,-1.6,0
-1.4,-0.15,-1.55,0,-1.55,0,-1.55,0
-1.4,-0.15,-1.55,0,-1.55,0,-1.55,0
-1.4,-0.1,-1.5,0,-1.5,0,-1.5,0
-1.4,-0.1,-1.5,0,-1.5,0,-1.5,0
-1.4,-0.1,-1.5,0,-1.5,0,-1.5,0
-1.35,-0.1,-1.45,0,-1.45,0,-1.45,0
-1.35,-0.1,-1.45,0,-1.45,0,-1.45,0
-1.3,-0.1,-1.4,0,-1.4,0,-1.4,0
-1.3,-0.1,-1.4,0,-1.4,0,-1.4,0
-1.3,-0.05,-1.35,0,-1.35,0,-1.35,0
-1.3,-0.05,-1.35,0,-1.35,0,-1.35,0
-1.3,-0.05,-1.35,0,-1.35,0,-1.35,0
-1.25,-0.05,-1.3,0,-1.3,0,-1.3,0
-1.25,-0.05,-1.3,0,-1.3,0,-1.3,0
-1.2,-0.05,-1.25,0,-1.25,0,-1.25,0
-1.2,-0.05,-1.25,0,-1.25,0,-1.25,0
-1.15,-0.05,-1.2,0,-1.2,0,-1.2,0
-1.15,-0.05,-1.2,0,-1.2,0,-1.2,0
-1.1,-0.05,-1.15,0,-1.15,0,-1.15,0
-1.1,-0.05,-1.15,0,-1.15,0,-1.15,0
-1.1,0,-1.15,0,-1.15,0,-1.15,0
-1.1,0,-1.1,0,-1.1,0,-1.1,0
-1.05,0,-1.1,0,-1.1,0,-1.1,0
-1.05,0,-1.05,0,-1.05,0,-1.05,0
-1.05,0,-1.05,0,-1.05,0,-1.05,0
-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0
-0.95,0,-0.95,0,-0.95,0,-0.95,0
-0.95,0,-0.95,0,-0.95,0,-0.95,0
-0.9,0,-0.9,0,-0.9,0,-0.9,0
-0.9,0,-0.9,0,-0.9,0,-0.9,0
-0.85,0,-0.85,0,-0.85,0,-0.85,0
-0.85,0,-0.85,0,-0.85,0,-0.85,0
-0.85,0,-0.85,0,-0.85,0,-0.85,0
-0.8,0,-0.8,0,-0.8,0,-0.8,0
-0.8,0,-0.8,0,-0.8,0,-0.8,0
-0.75,0,-0.75,0,-0.75,0,-0.75,0
-0.75,0,-0.75,0,-0.75,0,-0.75,0
-0.7,0,-0.7,0,-0.7,0,-0.7,0
-0.7,0,-0.7,0,-0.7,0,-0.7,0
-0.65,0,-0.65,0,-0.65,0,-0.65,0
-0.65,0,-0.65,0,-0.65,0,-0.65,0
-0.65,0,-0.65,0,-0.65,0,-0.65,0
-0.6,0,-0.6,0,-0.6,0,-0.6,0
-0.6,0,-0.6,0,-0.6,0,-0.6,0
-0.55,0,-0.55,0,-0.55,0,-0.55,0
-0.55,0,-0.55,0,-0.55,0,-0.55,0
-0.5,0,-0.5,0,-0.5,0,-0.5,0
-0.5,0,-0.5,0,-0.5,0,-0.5,0
-0.5,0,-0.5,0,-0.5,0,-0.5,0
-0.45,0,-0.45,0,-0.45,0,-0.45,0
-0.45,0,-0.45,0,-0.45,0,-0.45,0
-0.4,0,-0.4,0,-0.4,0,-0.4,0
-0.4,0,-0.4,0,-0.4,0,-0.4,0
-0.35,0,-0.35,0,-0.35,0,-0.35,0
-0.35,0,-0.35,0,-0.35,0,-0.35,0
-0.35,0,-0.35,0,-0.35,0,-0.35,0
-0.3,0,-0.3,0,-0.3,0,-0.3,0
-0.3,0,-0.3,0,-0.3,0,-0.3,0
-0.25,0,-0.25,0,-0.25,0,-0.25,0
-0.25,0,-0.25,0,-0.25,0,-0.25,0
-0.2,0,-0.2,0,-0.2,0,-0.2,0
-0.2,0,-0.2,0,-0.2,0,-0.2,0
-0.15,0,-0.15,0,-0.15,0,-0.15,0
-0.15,0,-0.15,0,-0.15,0,-0.15,0
-0.15,0,-0.15,0,-0.15,0,-0.15,0
-0.1,0,-0.1,0,-0.1,0,-0.1,0
-0.1,0,-0.1,0,-0.1,0,-0.1,0
-0.05,0,-0.05,0,-0.05,0,-0.05,0
-0.05,0,-0.05,0,-0.05,0,-0.05,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.05,0,0.05,0,0.05,0,0.05,0
0.05,0,0.05,0,0.05,0,0.05,0
0.1,0,0.1,0,0.1,0,0.1,0
0.1,0,0.1,0,0.1,0,0.1,0
0.15,0,0.15,0,0.15,0,0.15,0
0.15,0,0.15,0,0.15,0,0.15,0
0.15,0,0.15,0,0.15,0,0.15,0
0.2,0,0.2,0,0.2,0,0.2,0
0.2,0,0.2,0,0.2,0,0.2,0
0.25,0,0.25,0,0.25,0,0.25,0
0.25,0,0.25,0,0.25,0,0.25,0
0.3,0,0.3,0,0.3,0,0.3,0
0.3,0,0.3,0,0.3,0,0.3,0
0.35,0,0.35,0,0.35,0,0.35,0
0.35,0,0.35,0,0.35,0,0.35,0
0.35,0,0.35,0,0.35,0,0.35,0
0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0
0.45,0,0.45,0,0.45,0,0.45,0
0.45,0,0.45,0,0.45,0,0.45,0
0.5,0,0.5,0,0.5,0,0.5,0
0.5,0,0.5,0,0.5,0,0.5,0
0.5,0,0.5,0,0.5,0,0.5,0
0.55,0,0.5,0.05,0.55,0,0.55,0
0.55,0,0.5,0.05,0.55,0,0.55,0
0.6,0,0.55,0.05,0.6,0,0.55,0.05
0.6,0,0.55,0.05,0.6,0,0.55,0.05
0.65,0,0.6,0.1,0.6,0.05,0.6,0.05
0.65,0,0.55,0.1,0.6,0.05,0.6,0.05
0.65,0,0.55,0.1,0.6,0.05,0.6,0.05
0.65,0.05,0.6,0.1,0.6,0.1,0.6,0.1
0.65,0.05,0.6,0.1,0.6,0.1,0.6,0.1
0.65,0.1,0.6,0.15,0.65,0.1,0.6,0.15
0.65,0.1,0.6,0.15,0.65,0.1,0.6,0.15
0.7,0.1,0.6,0.2,0.65,0.15,0.6,0.2
0.7,0.1,0.6,0.2,0.65,0.15,0.6,0.2
0.7,0.15,0.65,0.2,0.65,0.2,0.65,0.2
0.7,0.15,0.65,0.2,0.65,0.2,0.65,0.2
0.7,0.15,0.65,0.2,0.65,0.2,0.65,0.2
0.7,0.2,0.65,0.25,0.65,0.25,0.65,0.25
0.7,0.2,0.65,0.25,0.65,0.25,0.65,0.25
0.7,0.25,0.65,0.3,0.65,0.3,0.65,0.3
0.7,0.25,0.65,0.3,0.65,0.3,0.65,0.3
0.7,0.3,0.65,0.35,0.65,0.35,0.65,0.35
0.7,0.3,0.65,0.35,0.65,0.35,0.65,0.35
0.7,0.3,0.65,0.35,0.65,0.35,0.65,0.35
0.7,0.35,0.65,0.4,0.65,0.4,0.65,0.4
0.7,0.35,0.65,0.4,0.65,0.4,0.65,0.4
0.7,0.4,0.65,0.45,0.65,0.45,0.65,0.45
0.7,0.4,0.65,0.45,0.65,0.45,0.65,0.45
0.7,0.45,0.65,0.5,0.65,0.5,0.65,0.5
0.7,0.45,0.65,0.5,0.65,0.5,0.65,0.5
0.7,0.45,0.65,0.5,0.65,0.5,0.65,0.5
0.7,0.5,0.65,0.55,0.65,0.55,0.65,0.55
0.7,0.5,0.65,0.55,0.65,0.55,0.65,0.55
0.7,0.55,0.65,0.6,0.65,0.6,0.65,0.6
0.7,0.55,0.65,0.6,0.65,0.6,0.65,0.6
0.7,0.6,0.65,0.65,0.65,0.6,0.65,0.6
0.7,0.6,0.65,0.65,0.65,0.65,0.7,0.65
0.7,0.65,0.65,0.7,0.7,0.65,0.7,0.65
0.7,0.65,0.65,0.7,0.7,0.65,0.7,0.65
0.7,0.65,0.65,0.7,0.7,0.65,0.7,0.65
0.75,0.7,0.65,0.75,0.7,0.7,0.7,0.7
0.7,0.7,0.65,0.75,0.7,0.7,0.7,0.7
0.75,0.7,0.65,0.8,0.7,0.75,0.7,0.75
0.75,0.75,0.7,0.8,0.7,0.75,0.7,0.75
0.75,0.75,0.7,0.8,0.7,0.8,0.7,0.8
0.75,0.75,0.7,0.8,0.7,0.8,0.7,0.8
0.75,0.75,0.7,0.8,0.7,0.8,0.7,0.8
0.75,0.8,0.7,0.85,0.7,0.85,0.7,0.85
0.75,0.8,0.7,0.85,0.7,0.85,0.7,0.85
0.75,0.85,0.7,0.9,0.7,0.9,0.7,0.9
0.75,0.85,0.7,0.9,0.7,0.9,0.7,0.9
0.75,0.9,0.7,0.95,0.7,0.95,0.7,0.95
0.75,0.9,0.7,0.95,0.7,0.95,0.7,0.95
0.75,0.9,0.7,0.95,0.7,0.95,0.7,0.95
0.75,0.95,0.7,1,0.7,1,0.7,1
0.75,0.95,0.7,1,0.7,1,0.7,1
0.75,1,0.7,1.05,0.7,1.05,0.7,1.05
0.75,1,0.7,1.05,0.7,1.05,0.7,1.05
0.75,1.05,0.7,1.1,0.7,1.1,0.7,1.1
0.75,1.05,0.7,1.1,0.7,1.1,0.7,1.1
0.75,1.1,0.7,1.15,0.7,1.15,0.7,1.15
0.75,1.1,0.7,1.15,0.7,1.15,0.7,1.15
0.75,1.1,0.7,1.15,0.7,1.15,0.7,1.15
0.75,1.15,0.7,1.2,0.7,1.2,0.7,1.2
0.75,1.15,0.7,1.2,0.7,1.2,0.7,1.2
0.75,1.2,0.7,1.25,0.7,1.25,0.7,1.25
0.75,1.2,0.7,1.25,0.7,1.25,0.7,1.25
0.75,1.25,0.7,1.3,0.7,1.3,0.7,1.3
0.75,1.25,0.7,1.3,0.7,1.3,0.7,1.3
0.75,1.25,0.7,1.3,0.7,1.3,0.7,1.3
